unit procedure,sampling point,parameter name,parameter detail,mfg_site_bldg,report_site,edmq_method,run number,batch number,date of manufacture,process start,parameter date,local id,value_text(reported),value_num(recorded/full precision),uom,lal,ual,lcl,ucl,lrl,ucl,cl,nel1,nel2,nel3,nel4,ppk,rep,control_precision,action_precision,rejection_precision,scale,summary table,disposition_date,result type,source_system,ctrl_violation,action_violation,rej_violation
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,97.560,97.560000000000000,% specific activity,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,102.930,102.930000000000000,% specific activity,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,98.227,98.227000000000000,% Relative Potency,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,100.460,100.460000000000000,% Relative Potency,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,113.130,113.130000000000000,% Relative Potency,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,Gene Expression Bioassay,PRDS-001057,IEDL:ADL9,ADL,MET-001201,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,103.160,103.160000000000000,% Relative Potency,70.000000000000000,130.000000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,0.262,0.262000000000000,%,.,0.700000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,0.250,0.250000000000000,%,.,0.700000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,0.251,0.251000000000000,%,.,0.700000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,0.190,0.190000000000000,%,.,0.700000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,0.198,0.198000000000000,%,.,0.700000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,0.238,0.238000000000000,%,.,0.700000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Deamidated Gln 108,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,0.233,0.233000000000000,%,.,0.700000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,0.235,0.235000000000000,%,.,1.300000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,0.190,0.190000000000000,%,.,1.300000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,0.199,0.199000000000000,%,.,1.300000000000000,0.100000000000000,0.300000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,0.282,0.282000000000000,%,.,1.300000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,0.267,0.267000000000000,%,.,1.300000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,0.268,0.268000000000000,%,.,1.300000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Dimer,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,0.231,0.231000000000000,%,.,1.300000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,97.775,97.775000000000000,%,93.900000000000000,.,97.300000000000000,98.500000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,97.932,97.932000000000000,%,93.900000000000000,.,97.300000000000000,98.500000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,97.882,97.882000000000000,%,93.900000000000000,.,97.300000000000000,98.500000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,97.178,97.178000000000000,%,93.900000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,97.196,97.196000000000000,%,93.900000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,97.826,97.826000000000000,%,96.000000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Main Peak,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,97.862,97.862000000000000,%,96.000000000000000,.,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,0.522,0.522000000000000,%,.,1.200000000000000,0.300000000000000,0.700000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,0.514,0.514000000000000,%,.,1.200000000000000,0.300000000000000,0.700000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,0.508,0.508000000000000,%,.,1.200000000000000,0.300000000000000,0.700000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,0.584,0.584000000000000,%,.,1.200000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,0.579,0.579000000000000,%,.,1.200000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010357907,0010357907,2017-11-13 00:00:00,2017-11-13 00:00:00,2017-11-13 00:00:00,.,0.545,0.545000000000000,%,.,1.200000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Post-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010359662,0010359662,2017-11-21 00:00:00,2017-11-21 00:00:00,2017-11-21 00:00:00,.,0.530,0.530000000000000,%,.,1.200000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Pre-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232061,0010232061,2014-12-09 00:00:00,2014-12-09 00:00:00,2014-12-09 00:00:00,.,1.204,1.204000000000000,%,.,4.900000000000000,0.700000000000000,1.800000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Pre-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010233264,0010233264,2014-12-17 00:00:00,2014-12-17 00:00:00,2014-12-17 00:00:00,.,1.112,1.112000000000000,%,.,4.900000000000000,0.700000000000000,1.800000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Pre-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010232063,0010232063,2014-12-19 00:00:00,2014-12-10 00:00:00,2014-12-19 00:00:00,.,1.157,1.157000000000000,%,.,4.900000000000000,0.700000000000000,1.800000000000000,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Pre-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313701,0010313701,2016-11-15 00:00:00,2016-11-15 00:00:00,2016-11-15 00:00:00,.,1.765,1.765000000000000,%,.,4.900000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
IEDL:ADL9-DP-ADL,.,HPLC-RP Pre-Peaks,PRDS-001057,IEDL:ADL9,ADL,MET-000911,0010313702,0010313702,2016-11-17 00:00:00,2016-11-17 00:00:00,2016-11-17 00:00:00,.,1.760,1.760000000000000,%,.,4.900000000000000,.,.,.,.,.,Y,Y,Y,Y,Y,I,.,.,.,LIN,.,.,Number,SMLIMS,.,.,.
